query,start,end,day_count
from:IvanDuque,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,7
from:IvanDuque,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,1
from:IvanDuque,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,8
from:IvanDuque,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,14
from:IvanDuque,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,8
from:IvanDuque,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,16
from:IvanDuque,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,20
from:IvanDuque,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,5
from:IvanDuque,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,27
from:IvanDuque,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,6
from:IvanDuque,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,12
from:IvanDuque,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,16
from:IvanDuque,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,3
from:IvanDuque,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,19
from:petrogustavo,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,13
from:petrogustavo,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,9
from:petrogustavo,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,27
from:petrogustavo,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,12
from:petrogustavo,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,22
from:petrogustavo,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,35
from:petrogustavo,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,19
from:petrogustavo,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,19
from:petrogustavo,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,6
from:petrogustavo,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,18
from:petrogustavo,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,13
from:petrogustavo,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,15
from:petrogustavo,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,19
from:petrogustavo,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,20
from:ClaudiaLopez,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,12
from:ClaudiaLopez,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,11
from:ClaudiaLopez,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,32
from:ClaudiaLopez,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,8
from:ClaudiaLopez,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,35
from:ClaudiaLopez,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,33
from:ClaudiaLopez,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,33
from:ClaudiaLopez,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,16
from:ClaudiaLopez,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,16
from:ClaudiaLopez,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,13
from:ClaudiaLopez,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,28
from:ClaudiaLopez,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,27
from:ClaudiaLopez,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,13
from:ClaudiaLopez,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,12
from:JuanManSantos,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,2
from:JuanManSantos,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,4
from:JuanManSantos,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,10
from:JuanManSantos,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,3
from:JuanManSantos,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,5
from:JuanManSantos,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,4
from:JuanManSantos,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,24
from:JuanManSantos,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,2
